"Ext","Count","GB"
".m2ts","184","284,07"
".mpg","342","269,41"
".jpg","23640","51,69"
".avi","27","22,38"
".mp4","12","11,13"
".tif","102","2,15"
".bmp","426","1,33"
".dcr","141","1,25"
".nef","69","0,91"
".chk","3089","0,75"
".mp3","84","0,33"
".psd","9","0,25"
".m2v","1","0,19"
".dng","17","0,17"
".mov","13","0,15"
".mkv","1","0,14"
".wmv","3","0,14"
".albm","15","0,08"
".ts","1","0,04"
".ithmb","43","0,03"
".wma","12","0,03"
".raf","1","0,01"
".orig","3","0,01"
".gif","18","0,01"
".pdf","1","0,01"
".wav","3","0,01"
".indexpositiontable","1","0"
".indexarrays","1","0"
".updates","1","0"
".indexids","1","0"
".indextermids","1","0"
".mht","2","0"
".scn","3","0"
".odt","1","0"
".dvd","3","0"
".lnk","2","0"
".xmp","10","0"
".mix","2","0"
".project","1","0"
".png","22","0"
".lion","1","0"
".db","9","0"
"(sin)","6","0"
".index","2","0"
".alp","3","0"
".pk","16","0"
".shadowindexpositiontable","1","0"
".indexupdates","2","0"
".indexpositions","1","0"
".indexpostings","1","0"
".glow","1","0"
".created","3","0"
".star","1","0"
".cab","1","0"
