"Path","Length","LastWriteTime","Hash","Drive","Ext"
"C:\19M15S_1631409555.mp4","3925623","12/09/2021 2:20:14","D200007BA121C39E1B274F7335CF3A0F302B4505BFECA43856214ADE96DD521F","C:",".mp4"
"C:\Backup_ntfs_origen_20250927_130614\codex\papa\captura bueuna.png","115372","27/09/2025 2:46:54","21858A7F525090C5A590A0C57F383800A91DD766EBA01A1C22DB83606032A3FF","C:",".png"
"C:\Backup_ntfs_origen_20250927_130614\codex\papa\Captura de pantalla 2025-09-27 043030.png","199659","27/09/2025 2:32:05","EE9BB1AD2E004F13807E99027AA60E9578592EC39747A16645FCA887135317DE","C:",".png"
"C:\Backup_ntfs_origen_20250927_130614\codex\papa\editable_preview_1.png","581187","27/09/2025 2:18:25","F3950FBD1BE6F3D8FB1A4441B5BA80216EB2A146F9515034B873E538308B75AB","C:",".png"
"C:\Backup_ntfs_origen_20250927_130614\codex\papa\invoice_page1.png","33163","27/09/2025 0:08:18","50C1D6AE5A6899D32915F84E795EBE88EA0962C6106A39385CB7C912595782FB","C:",".png"
"C:\Backup_ntfs_origen_20250927_130614\Descargas\IMG_1628.JPG","95143","24/09/2025 10:30:02","789F9902CE567D1F9FA94D13C14E0A21D892C2A5993BE6FAFB9163B1D0075253","C:",".JPG"
"C:\Backup_ntfs_origen_20250927_130614\Descargas\WhatsApp Ptt 2025-09-17 at 22.16.50.ogg","362800","18/09/2025 7:45:33","D3128B2DBC5F7D5314D76B7E30804319231AF941566AC4A1E564450EC96EAE9C","C:",".ogg"
"C:\Backup_ntfs_origen_20250927_130614\Descargas\The End (2025) [4k 2160p][Esp]\The End (2025) [4k 2160p][Esp].mkv","18390680794","16/09/2025 9:19:34","E2ECDCDB4C9C40C6B9C8AF3FF34FCE38E63034AC81FD3E5F9CD6739ADE4E4561","C:",".mkv"
"C:\Backup_ntfs_origen_20250927_130614\Descargas\ZeroNet-win-dist-win64\ZeroNet-win-dist-win64\core\plugins\Sidebar\media_globe\world.jpg","94795","21/09/2025 15:52:44","8B8F3A4E258428B6E669A0799FB8B6F2DB15C6240825D6A7C75963829B576994","C:",".jpg"
"C:\Backup_ntfs_origen_20250927_130614\Descargas\ZeroNet-win-dist-win64\ZeroNet-win-dist-win64\core\plugins\UiConfig\media\img\loading.gif","723","21/09/2025 15:52:44","EABB13491431A5E7FC2243272EB15836682F593715E5A5B8B75AF0AC6EB6A75F","C:",".gif"
"C:\Backup_ntfs_origen_20250927_130614\Descargas\ZeroNet-win-dist-win64\ZeroNet-win-dist-win64\core\plugins\UiPluginManager\media\img\loading.gif","723","21/09/2025 15:52:45","EABB13491431A5E7FC2243272EB15836682F593715E5A5B8B75AF0AC6EB6A75F","C:",".gif"
"C:\Backup_ntfs_origen_20250927_130614\Descargas\ZeroNet-win-dist-win64\ZeroNet-win-dist-win64\core\src\Ui\media\img\loading-circle.gif","2346","21/09/2025 15:52:47","800D2B1BB2707C7A2A2BD29FB7495E13F72008C397CBB080579BF8E18CE68989","C:",".gif"
"C:\Backup_ntfs_origen_20250927_130614\Descargas\ZeroNet-win-dist-win64\ZeroNet-win-dist-win64\core\src\Ui\media\img\loading.gif","723","21/09/2025 15:52:47","EABB13491431A5E7FC2243272EB15836682F593715E5A5B8B75AF0AC6EB6A75F","C:",".gif"
