"FullName","Length","LastWriteTime"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\.gitignore","113","08/10/2025 22:14:51"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\.safety.patch","0","05/10/2025 5:13:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\AGENTS.md","2970","05/10/2025 9:10:01"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\Cómo usarlo.txt","689","05/10/2025 5:13:11"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\deleted_nonmedia_duplicates.csv","70801","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\deleted_nonmedia_duplicates_missing.csv","915","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\detect_drive_changes.ps1","10566","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\dupes_confirmed.csv","3233","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\hybrid_dedup.ps1","7515","01/10/2025 18:42:22"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\identify-duplicates.ps1","5138","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\index_by_hash.csv","5510997","02/10/2025 12:31:13"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\index_by_hash.html","461210","01/10/2025 18:42:22"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\index_by_hash.txt","7516623","02/10/2025 12:31:13"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\inventory_by_folder.csv","7831843","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\inventory_folder_index.txt","1536002","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\listado_archivos.csv","0","09/10/2025 10:55:33"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\make_inventory_offline.ps1","34004","04/10/2025 5:55:34"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\move-duplicates.ps1","4063","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\moved_duplicates_I.csv","50701","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\move_duplicates.ps1","6036","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\prededup_size_name.csv","180518","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\README.md","3794","05/10/2025 9:10:01"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\resumen_por_disco_index_by_hash.csv","147","02/10/2025 12:31:13"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\sample_keys.json","627","08/10/2025 22:14:54"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\sync-to-github.ps1","3400","05/10/2025 9:10:34"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\test-inventario.ps1","6988","08/10/2025 22:21:46"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\update_pages_inventory.ps1","32011","03/10/2025 20:58:58"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\data\inventory.json","62698118","08/10/2025 22:15:12"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\dupes_confirmed.csv","137694","01/10/2025 18:42:22"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\duplicate_summary.json","174","03/10/2025 20:58:57"
"C:\Users\anton\Desktop\Discos duros\Discos-An-lisis-Final\docs\hash_data.bak","3","08/10/2025 22:14:51"
