[2025-10-01 14:27:36] Reindex HIJ - inicio
[2025-10-01 14:27:36] [INFO] Escaneando H:\ ...
[2025-10-01 14:31:13] [H] 200 archivos procesados
[2025-10-01 14:31:24] [H] 400 archivos procesados
[2025-10-01 14:31:43] [H] 600 archivos procesados
[2025-10-01 14:31:59] [H] 800 archivos procesados
[2025-10-01 14:40:57] [H] 1000 archivos procesados
[2025-10-01 15:21:18] [H] 1200 archivos procesados
[2025-10-01 17:33:49] [H] 1400 archivos procesados
[2025-10-01 17:33:56] [H] 1600 archivos procesados
[2025-10-01 17:33:56] [INFO] H:\ completado (1632 archivos)
[2025-10-01 17:33:56] [INFO] Escaneando I:\ ...
[2025-10-01 18:30:53] [I] 200 archivos procesados
[2025-10-01 19:15:29] [I] 400 archivos procesados
[2025-10-01 21:27:46] [I] 600 archivos procesados
[2025-10-01 22:04:40] [INFO] I:\ completado (683 archivos)
[2025-10-01 22:04:40] [INFO] Escaneando J:\ ...
[2025-10-01 22:05:50] [J] 200 archivos procesados
[2025-10-01 22:05:55] [J] 400 archivos procesados
[2025-10-01 22:06:36] [J] 600 archivos procesados
[2025-10-01 22:08:41] [J] 800 archivos procesados
[2025-10-01 22:08:51] [J] 1000 archivos procesados
[2025-10-01 22:10:53] [J] 1200 archivos procesados
[2025-10-01 22:13:08] [J] 1400 archivos procesados
[2025-10-01 22:15:52] [J] 1600 archivos procesados
[2025-10-01 22:19:35] [J] 1800 archivos procesados
[2025-10-01 22:22:30] [J] 2000 archivos procesados
[2025-10-01 22:24:30] [J] 2200 archivos procesados
[2025-10-01 22:45:51] [J] 2400 archivos procesados
[2025-10-01 22:45:58] [J] 2600 archivos procesados
[2025-10-01 22:46:04] [J] 2800 archivos procesados
[2025-10-01 22:46:13] [J] 3000 archivos procesados
[2025-10-01 22:46:22] [J] 3200 archivos procesados
[2025-10-01 22:46:29] [J] 3400 archivos procesados
[2025-10-01 22:46:36] [J] 3600 archivos procesados
[2025-10-01 22:46:43] [J] 3800 archivos procesados
[2025-10-01 22:46:48] [J] 4000 archivos procesados
[2025-10-01 22:46:52] [J] 4200 archivos procesados
[2025-10-01 22:46:55] [J] 4400 archivos procesados
[2025-10-01 22:47:04] [J] 4600 archivos procesados
[2025-10-01 22:47:13] [J] 4800 archivos procesados
[2025-10-01 22:47:23] [J] 5000 archivos procesados
[2025-10-01 22:47:30] [J] 5200 archivos procesados
[2025-10-01 22:47:37] [J] 5400 archivos procesados
[2025-10-01 22:47:49] [J] 5600 archivos procesados
[2025-10-01 22:48:02] [J] 5800 archivos procesados
[2025-10-01 22:48:14] [J] 6000 archivos procesados
[2025-10-01 22:48:26] [J] 6200 archivos procesados
[2025-10-01 22:48:33] [J] 6400 archivos procesados
[2025-10-01 22:48:41] [J] 6600 archivos procesados
[2025-10-01 22:48:54] [J] 6800 archivos procesados
[2025-10-01 22:49:00] [J] 7000 archivos procesados
[2025-10-01 22:49:22] [J] 7200 archivos procesados
[2025-10-01 22:49:30] [J] 7400 archivos procesados
[2025-10-01 22:49:40] [J] 7600 archivos procesados
[2025-10-01 22:49:51] [J] 7800 archivos procesados
[2025-10-01 22:49:59] [J] 8000 archivos procesados
[2025-10-01 22:50:07] [J] 8200 archivos procesados
[2025-10-01 22:50:14] [J] 8400 archivos procesados
[2025-10-01 22:50:20] [J] 8600 archivos procesados
[2025-10-01 22:50:26] [J] 8800 archivos procesados
[2025-10-01 22:50:35] [J] 9000 archivos procesados
[2025-10-01 22:50:41] [J] 9200 archivos procesados
[2025-10-01 22:50:54] [J] 9400 archivos procesados
[2025-10-01 22:51:02] [J] 9600 archivos procesados
[2025-10-01 22:51:08] [J] 9800 archivos procesados
[2025-10-01 22:51:18] [J] 10000 archivos procesados
[2025-10-01 22:51:22] [J] 10200 archivos procesados
[2025-10-01 22:51:27] [J] 10400 archivos procesados
[2025-10-01 22:51:44] [J] 10600 archivos procesados
[2025-10-01 22:52:06] [J] 10800 archivos procesados
[2025-10-01 22:52:15] [J] 11000 archivos procesados
[2025-10-01 22:52:22] [J] 11200 archivos procesados
[2025-10-01 22:52:31] [J] 11400 archivos procesados
[2025-10-01 22:52:43] [J] 11600 archivos procesados
[2025-10-01 22:52:49] [J] 11800 archivos procesados
[2025-10-01 22:52:54] [J] 12000 archivos procesados
[2025-10-01 22:52:59] [J] 12200 archivos procesados
[2025-10-01 22:53:04] [J] 12400 archivos procesados
[2025-10-01 22:53:11] [J] 12600 archivos procesados
[2025-10-01 22:53:19] [J] 12800 archivos procesados
[2025-10-01 22:53:26] [J] 13000 archivos procesados
[2025-10-01 22:53:34] [J] 13200 archivos procesados
[2025-10-01 22:53:51] [J] 13400 archivos procesados
[2025-10-01 22:54:04] [J] 13600 archivos procesados
[2025-10-01 22:54:11] [J] 13800 archivos procesados
[2025-10-01 22:54:17] [J] 14000 archivos procesados
[2025-10-01 22:54:23] [J] 14200 archivos procesados
[2025-10-01 22:57:14] [J] 14400 archivos procesados
[2025-10-01 22:57:49] [J] 14600 archivos procesados
[2025-10-01 22:57:55] [J] 14800 archivos procesados
[2025-10-01 22:58:01] [J] 15000 archivos procesados
[2025-10-01 22:58:38] [J] 15200 archivos procesados
[2025-10-01 22:58:46] [J] 15400 archivos procesados
[2025-10-01 22:58:51] [J] 15600 archivos procesados
[2025-10-01 22:59:32] [J] 15800 archivos procesados
[2025-10-01 23:02:28] [J] 16000 archivos procesados
[2025-10-01 23:02:32] [J] 16200 archivos procesados
[2025-10-01 23:02:45] [J] 16400 archivos procesados
[2025-10-01 23:02:52] [J] 16600 archivos procesados
[2025-10-01 23:03:00] [J] 16800 archivos procesados
[2025-10-01 23:03:16] [J] 17000 archivos procesados
[2025-10-01 23:03:26] [J] 17200 archivos procesados
[2025-10-01 23:03:36] [J] 17400 archivos procesados
[2025-10-01 23:03:46] [J] 17600 archivos procesados
[2025-10-01 23:03:54] [J] 17800 archivos procesados
[2025-10-01 23:05:11] [J] 18000 archivos procesados
